county,id,N,P,V,PE,total_precincts,reported_precincts
SABINE,9240,TRUMP,REP,0,0.0,9,0
SABINE,9160,BIDEN,DEM,0,0.0,9,0
SAN AUGUSTINE,9240,TRUMP,REP,0,0.0,12,0
SAN AUGUSTINE,9160,BIDEN,DEM,0,0.0,12,0
SAN JACINTO,9240,TRUMP,REP,0,0.0,12,0
SAN JACINTO,9160,BIDEN,DEM,0,0.0,12,0
SAN PATRICIO,9240,TRUMP,REP,0,0.0,26,0
SAN PATRICIO,9160,BIDEN,DEM,0,0.0,26,0
SAN SABA,9240,TRUMP,REP,0,0.0,4,0
SAN SABA,9160,BIDEN,DEM,0,0.0,4,0
SCHLEICHER,9240,TRUMP,REP,0,0.0,5,0
SCHLEICHER,9160,BIDEN,DEM,0,0.0,5,0
SCURRY,9240,TRUMP,REP,0,0.0,12,0
SCURRY,9160,BIDEN,DEM,0,0.0,12,0
SHACKELFORD,9240,TRUMP,REP,0,0.0,8,0
SHACKELFORD,9160,BIDEN,DEM,0,0.0,8,0
SHELBY,9240,TRUMP,REP,0,0.0,15,0
SHELBY,9160,BIDEN,DEM,0,0.0,15,0
SHERMAN,9240,TRUMP,REP,0,0.0,5,0
SHERMAN,9160,BIDEN,DEM,0,0.0,5,0
SMITH,9240,TRUMP,REP,0,0.0,74,0
SMITH,9160,BIDEN,DEM,0,0.0,74,0
SOMERVELL,9240,TRUMP,REP,0,0.0,4,0
SOMERVELL,9160,BIDEN,DEM,0,0.0,4,0
STARR,9240,TRUMP,REP,0,0.0,10,0
STARR,9160,BIDEN,DEM,0,0.0,10,0
STEPHENS,9240,TRUMP,REP,0,0.0,9,0
STEPHENS,9160,BIDEN,DEM,0,0.0,9,0
STERLING,9240,TRUMP,REP,0,0.0,4,0
STERLING,9160,BIDEN,DEM,0,0.0,4,0
STONEWALL,9240,TRUMP,REP,0,0.0,4,0
STONEWALL,9160,BIDEN,DEM,0,0.0,4,0
SUTTON,9240,TRUMP,REP,0,0.0,5,0
SUTTON,9160,BIDEN,DEM,0,0.0,5,0
SWISHER,9240,TRUMP,REP,0,0.0,9,0
SWISHER,9160,BIDEN,DEM,0,0.0,9,0
TARRANT,9240,TRUMP,REP,0,0.0,730,0
TARRANT,9160,BIDEN,DEM,0,0.0,730,0
TAYLOR,9240,TRUMP,REP,0,0.0,35,0
TAYLOR,9160,BIDEN,DEM,0,0.0,35,0
TERRELL,9240,TRUMP,REP,0,0.0,5,0
TERRELL,9160,BIDEN,DEM,0,0.0,5,0
TERRY,9240,TRUMP,REP,0,0.0,8,0
TERRY,9160,BIDEN,DEM,0,0.0,8,0
THROCKMORTON,9240,TRUMP,REP,0,0.0,6,0
THROCKMORTON,9160,BIDEN,DEM,0,0.0,6,0
TITUS,9240,TRUMP,REP,0,0.0,19,0
TITUS,9160,BIDEN,DEM,0,0.0,19,0
TOM GREEN,9240,TRUMP,REP,0,0.0,35,0
TOM GREEN,9160,BIDEN,DEM,0,0.0,35,0
TRAVIS,9240,TRUMP,REP,0,0.0,248,0
TRAVIS,9160,BIDEN,DEM,0,0.0,248,0
TRINITY,9240,TRUMP,REP,0,0.0,20,0
TRINITY,9160,BIDEN,DEM,0,0.0,20,0
TYLER,9240,TRUMP,REP,0,0.0,18,0
TYLER,9160,BIDEN,DEM,0,0.0,18,0
UPSHUR,9240,TRUMP,REP,0,0.0,22,0
UPSHUR,9160,BIDEN,DEM,0,0.0,22,0
UPTON,9240,TRUMP,REP,0,0.0,5,0
UPTON,9160,BIDEN,DEM,0,0.0,5,0
UVALDE,9240,TRUMP,REP,0,0.0,14,0
UVALDE,9160,BIDEN,DEM,0,0.0,14,0
VAL VERDE,9240,TRUMP,REP,0,0.0,17,0
VAL VERDE,9160,BIDEN,DEM,0,0.0,17,0
VAN ZANDT,9240,TRUMP,REP,0,0.0,19,0
VAN ZANDT,9160,BIDEN,DEM,0,0.0,19,0
VICTORIA,9240,TRUMP,REP,0,0.0,35,0
VICTORIA,9160,BIDEN,DEM,0,0.0,35,0
WALKER,9240,TRUMP,REP,0,0.0,17,0
WALKER,9160,BIDEN,DEM,0,0.0,17,0
WALLER,9240,TRUMP,REP,0,0.0,21,0
WALLER,9160,BIDEN,DEM,0,0.0,21,0
WARD,9240,TRUMP,REP,0,0.0,9,0
WARD,9160,BIDEN,DEM,0,0.0,9,0
WASHINGTON,9240,TRUMP,REP,0,0.0,22,0
WASHINGTON,9160,BIDEN,DEM,0,0.0,22,0
